Zone,Circle,Division,Date,Substation,time,VOLTAGE | 66KV Bus I,66KV Bus II,11KV T-I,11 KV T-2,66 kV FEEDERS LOAD | A-4 Ckt,A-5 Ckt,N/India Ckt,Globe-Partap Steel Ckt,66KV Bus-Coupler,Goodyear Ckt,25/31.5MVA T/F T-1,25/31.5MVA T/F T-2,LOAD IN MVA | T/F T-I,T/F T-2,"Total Load of T/F, T-1",11KV OUT GOING FEEDERS LOAD (Amp.) T/F T-1 | 11KV Incomer - I,11KV B D Ghai,11KV Sector-6,11KV Sector-7,11KV Shivalik Print,11KV Sovrin,11KV Super Alloy,11KV Bus Coupler,11KV Incomer - II,11KV Public Health,11KV Shiva Hardware,11KV Interlinking,11KV Cap. Bank,11KV TRW+S/Stn-II,"Total Load of T/F, T-2",11KV OUT GOING FEEDERS LOAD (Amp.) T/F T-2 | 11KV Incomer - I,11KV TRW+S/Stn-I,11KV Sector-4,11KV Ballabgarh-III,11KV Shubham (G),11KV Chawla Colony,11KV Super Auto,11KV Bus Coupler_2,11KV Incomer - II_2,11KV Shyam Textile,11KV CRI,11KV Cap. Bank_2,TEMP. & TAP Position | 25/31.5MVA T-1 | OIL,WINDG,TAP,25/31.5MVA T-2 | WINDG,OIL,TAP_2,Power Factor | T/F T-1 | Lead,Lag,T/F T-2 | Lead,Lag_2,Frequency,Weather,Remarks
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-04,66 Idgah,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-05,66 Idgah,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-06,66 Idgah,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-07,66 Idgah,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,2025-09-08,66 Idgah,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
